model,activation,dropout,epochs,batch_size,train_loss,train_acc,test_loss,test_acc,gap,fit_time_s
Sigmoid,sigmoid,0.0,10,32,0.5491753220558167,0.802299976348877,0.5645546317100525,0.7940999865531921,0.008199989795684814,35.78300909999962
GELU,gelu,0.0,10,32,0.349103182554245,0.8754333257675171,0.4158773422241211,0.8529999852180481,0.022433340549468994,37.30811769999855
ReLU,relu,0.0,10,32,0.33126208186149597,0.8824999928474426,0.39976766705513,0.8574000000953674,0.025099992752075195,37.52103869999701
ReLU+Drop0.1,relu,0.1,10,32,0.3471764028072357,0.8760833144187927,0.37927111983299255,0.8644999861717224,0.011583328247070312,38.24448180000036
Mish,mish,0.0,10,32,0.3551793098449707,0.873033344745636,0.41339385509490967,0.8521999716758728,0.020833373069763184,39.0773451999994
ReLU+Dropout,relu,0.3,10,32,0.3884927034378052,0.8617333173751831,0.38396120071411133,0.8626000285148621,-0.0008667111396789551,39.97647760000109
ReLU+Drop0.4,relu,0.4,10,32,0.41515055298805237,0.8535000085830688,0.3896617889404297,0.8616999983787537,-0.008199989795684814,39.385443700004544
ReLU+Drop0.2,relu,0.2,10,32,0.36346471309661865,0.8689000010490417,0.38208845257759094,0.8623999953269958,0.0065000057220458984,40.71363989999372
ReLU+Drop0.5,relu,0.5,10,32,0.4453588128089905,0.8426833152770996,0.3993079960346222,0.8579000234603882,-0.015216708183288574,39.590378499997314
ReLU+Drop0.8,relu,0.8,10,32,0.7820941805839539,0.7031999826431274,0.5892130732536316,0.7865999937057495,-0.08340001106262207,38.07830459999968
ReLU+Drop0.6,relu,0.6,10,32,0.49420735239982605,0.8277000188827515,0.42577362060546875,0.8490999937057495,-0.021399974822998047,40.14924990000145
ReLU+Drop0.7,relu,0.7,10,32,0.5700796842575073,0.8014666438102722,0.45469212532043457,0.8381999731063843,-0.03673332929611206,41.487924099994416
Sigmoid,sigmoid,0.0,10,64,0.6797525882720947,0.7580166459083557,0.6830700635910034,0.7506999969482422,0.007316648960113525,20.20044780000171
ReLU,relu,0.0,10,64,0.377425879240036,0.8687999844551086,0.459440141916275,0.8373000025749207,0.03149998188018799,20.603009700003895
ReLU+Dropout,relu,0.3,10,64,0.4435975253582001,0.8428999781608582,0.4194655418395996,0.8482000231742859,-0.005300045013427734,20.897282999998424
GELU,gelu,0.0,10,64,0.3985441029071808,0.8601333498954773,0.4869171977043152,0.8263999819755554,0.033733367919921875,23.023707100001047
Mish,mish,0.0,10,64,0.3979012072086334,0.8600833415985107,0.47215816378593445,0.829200029373169,0.030883312225341797,22.75578140000289
ReLU+Drop0.9,relu,0.9,10,32,1.4718432426452637,0.40513333678245544,1.1809613704681396,0.599399983882904,-0.1942666471004486,35.07254639999883
ReLU+Drop0.2,relu,0.2,10,64,0.41837212443351746,0.852150022983551,0.41914814710617065,0.8507000207901001,0.0014500021934509277,20.64265940000041
ReLU+Drop0.1,relu,0.1,10,64,0.396858274936676,0.8599833250045776,0.4184196889400482,0.8495000004768372,0.010483324527740479,21.64026370000647
ReLU+Drop0.4,relu,0.4,10,64,0.468270480632782,0.8355666399002075,0.4289082884788513,0.845300018787384,-0.009733378887176514,25.44575750000513
ReLU+Drop0.5,relu,0.5,10,64,0.5088546872138977,0.8241999745368958,0.4422711431980133,0.8420000076293945,-0.01780003309249878,23.759836200006248
ReLU+Drop0.6,relu,0.6,10,64,0.5578212141990662,0.8067166805267334,0.46046122908592224,0.8345999717712402,-0.027883291244506836,25.425697099999525
ReLU+Drop0.7,relu,0.7,10,64,0.6506291627883911,0.7717833518981934,0.5026453137397766,0.822700023651123,-0.05091667175292969,24.873395900001924
ReLU,relu,0.0,10,128,0.42367061972618103,0.8525333404541016,0.4686829149723053,0.8337000012397766,0.01883333921432495,16.39058429999568
Sigmoid,sigmoid,0.0,10,128,0.9379788637161255,0.7020666599273682,0.9237173795700073,0.6926000118255615,0.00946664810180664,18.6969936999958
ReLU+Drop0.8,relu,0.8,10,64,0.8541402220726013,0.6732000112533569,0.6389238238334656,0.7483999729156494,-0.07519996166229248,27.010785999998916
ReLU+Drop0.9,relu,0.9,10,64,1.5229088068008423,0.37630000710487366,1.2956984043121338,0.5300999879837036,-0.15379998087882996,26.672902799997246
ReLU+Dropout,relu,0.3,10,128,0.5124449729919434,0.8224166631698608,0.4688792824745178,0.8341000080108643,-0.011683344841003418,19.166421699999773
GELU,gelu,0.0,10,128,0.4429144859313965,0.8461999893188477,0.4836544990539551,0.8295999765396118,0.01660001277923584,16.90431580000586
Mish,mish,0.0,10,128,0.44123324751853943,0.8470500111579895,0.4827593266963959,0.8346999883651733,0.012350022792816162,18.080465999999433
ReLU+Drop0.1,relu,0.1,10,128,0.45515114068984985,0.8406000137329102,0.45126211643218994,0.842199981212616,-0.0015999674797058105,17.668058700000984
ReLU+Drop0.2,relu,0.2,10,128,0.4824245870113373,0.8314999938011169,0.46100887656211853,0.8367000222206116,-0.005200028419494629,16.368569899997965
ReLU+Drop0.4,relu,0.4,10,128,0.5452892780303955,0.809416651725769,0.4741973578929901,0.8288999795913696,-0.019483327865600586,17.583252899996296
ReLU+Drop0.5,relu,0.5,10,128,0.595576822757721,0.7939000129699707,0.49671465158462524,0.8216999769210815,-0.02779996395111084,17.313150999994832
ReLU+Drop0.6,relu,0.6,10,128,0.6517375707626343,0.768666684627533,0.5236935019493103,0.8126000165939331,-0.043933331966400146,16.475280000006023
Sigmoid,sigmoid,0.0,10,256,1.3045803308486938,0.6384000182151794,1.274074673652649,0.6327999830245972,0.005600035190582275,11.550225900005898
ReLU,relu,0.0,10,256,0.4695713520050049,0.8390499949455261,0.5096306800842285,0.8216999769210815,0.01735001802444458,11.092393200000515
ReLU+Drop0.7,relu,0.7,10,128,0.7633591294288635,0.7243833541870117,0.580253005027771,0.79339998960495,-0.06901663541793823,16.5552566999977
ReLU+Drop0.8,relu,0.8,10,128,0.9900232553482056,0.6225666403770447,0.7190455794334412,0.7386000156402588,-0.11603337526321411,15.522751700002118
ReLU+Drop0.9,relu,0.9,10,128,1.6800702810287476,0.33303332328796387,1.4325593709945679,0.5442000031471252,-0.21116667985916138,16.733333199998015
ReLU+Dropout,relu,0.3,10,256,0.6129012107849121,0.7889833450317383,0.5422334671020508,0.8093000054359436,-0.020316660404205322,12.832655600002909
GELU,gelu,0.0,10,256,0.48404571413993835,0.833733320236206,0.5460982918739319,0.8069999814033508,0.026733338832855225,11.367885699997714
Mish,mish,0.0,10,256,0.48879274725914,0.8305666446685791,0.5448960065841675,0.8057000041007996,0.02486664056777954,11.341439899995748
ReLU+Drop0.1,relu,0.1,10,256,0.5357704162597656,0.815750002861023,0.5132046937942505,0.8238000273704529,-0.008050024509429932,12.006534099993587
ReLU+Drop0.2,relu,0.2,10,256,0.5698235034942627,0.8047999739646912,0.5240046977996826,0.8203999996185303,-0.015600025653839111,13.044635500002187
ReLU+Drop0.4,relu,0.4,10,256,0.6578036546707153,0.7714333534240723,0.5572782158851624,0.8027999997138977,-0.03136664628982544,11.598647799997707
ReLU+Drop0.5,relu,0.5,10,256,0.7159541845321655,0.7484833598136902,0.5860840678215027,0.7904000282287598,-0.04191666841506958,11.884849599999143
ReLU+Drop0.7,relu,0.7,10,256,0.9057019948959351,0.6695333123207092,0.6715961694717407,0.7569000124931335,-0.08736670017242432,12.260354999998526
ReLU+Drop0.6,relu,0.6,10,256,0.7873770594596863,0.72038334608078,0.6094202995300293,0.7818999886512756,-0.061516642570495605,13.446321499999613
Sigmoid,sigmoid,0.0,10,512,1.884015440940857,0.5666999816894531,1.8504501581192017,0.555400013923645,0.011299967765808105,9.747342499998922
ReLU+Drop0.8,relu,0.8,10,256,1.1762133836746216,0.5558833479881287,0.8206703066825867,0.7225000262260437,-0.16661667823791504,12.320199500005401
ReLU+Drop0.9,relu,0.9,10,256,1.9679408073425293,0.27015000581741333,1.767775058746338,0.5685999989509583,-0.2984499931335449,11.897523399995407
ReLU,relu,0.0,10,512,0.5599626898765564,0.8138833045959473,0.5803337693214417,0.8023999929428101,0.011483311653137207,8.398485800003982
