model,activation,dropout,epochs,batch_size,train_loss,train_acc,test_loss,test_acc,gap,fit_time_s
Sigmoid,sigmoid,0.0,10,1024,2.104071855545044,0.5920166373252869,2.092562198638916,0.5823000073432922,0.009716629981994629,7.36037419999775
Sigmoid,sigmoid,0.0,10,512,1.9133403301239014,0.601016640663147,1.8797026872634888,0.6061000227928162,-0.0050833821296691895,8.657339199999114
Sigmoid,sigmoid,0.0,10,256,1.3175524473190308,0.6532666683197021,1.2882174253463745,0.644599974155426,0.008666694164276123,11.758175200004189
Sigmoid,sigmoid,0.0,10,2048,2.2237672805786133,0.5262166857719421,2.2197470664978027,0.5223000049591064,0.003916680812835693,6.850846299996192
Sigmoid,sigmoid,0.0,10,4096,2.262993574142456,0.3772333264350891,2.260871171951294,0.3944000005722046,-0.01716667413711548,6.684623100001772
Sigmoid,sigmoid,0.0,10,128,0.9067373871803284,0.7161999940872192,0.893399715423584,0.7039999961853027,0.012199997901916504,17.216737299997476
Sigmoid,sigmoid,0.0,10,8192,2.2823288440704346,0.20579999685287476,2.280912160873413,0.21220000088214874,-0.006400004029273987,6.890934600000037
Sigmoid,sigmoid,0.0,10,16384,2.2918105125427246,0.10353333503007889,2.290895462036133,0.10320000350475311,0.00033333152532577515,7.3060384999989765
Sigmoid,sigmoid,0.0,10,64,0.6808645725250244,0.7538166642189026,0.6851097941398621,0.7473000288009644,0.006516635417938232,27.133011700003408
Sigmoid,sigmoid,0.0,10,32,0.5562215447425842,0.8004500269889832,0.5697644352912903,0.7954999804496765,0.004950046539306641,35.06522209999821
Sigmoid,sigmoid,0.0,20,512,1.2979047298431396,0.6548166871070862,1.2850277423858643,0.6510999798774719,0.003716707229614258,10.52071640000213
Sigmoid,sigmoid,0.0,20,256,0.9103241562843323,0.7206166386604309,0.9073486328125,0.7121999859809875,0.00841665267944336,13.335077399999136
Sigmoid,sigmoid,0.0,20,128,0.6702874898910522,0.7601500153541565,0.679326057434082,0.7552000284194946,0.004949986934661865,19.107909199999995
Sigmoid,sigmoid,0.0,20,1024,1.7660796642303467,0.5891500115394592,1.750458836555481,0.5885000228881836,0.0006499886512756348,10.212726799996744
Sigmoid,sigmoid,0.0,20,2048,2.1347153186798096,0.6015999913215637,2.129474401473999,0.6039999723434448,-0.0023999810218811035,10.024474500001816
Sigmoid,sigmoid,0.0,20,4096,2.2169368267059326,0.48676666617393494,2.214677095413208,0.48429998755455017,0.0024666786193847656,9.891400400003477
Sigmoid,sigmoid,0.0,20,8192,2.2654976844787598,0.4011833369731903,2.2643396854400635,0.3977000117301941,0.003483325242996216,9.801542300003348
Sigmoid,sigmoid,0.0,20,64,0.5469969511032104,0.8040666580200195,0.566066563129425,0.7972000241279602,0.006866633892059326,32.72756539999682
Sigmoid,sigmoid,0.0,20,16384,2.2848072052001953,0.16066665947437286,2.2837936878204346,0.1688999980688095,-0.008233338594436646,9.208682899996347
Sigmoid,sigmoid,0.0,20,32,0.4610912501811981,0.8367833495140076,0.4912242293357849,0.8241000175476074,0.012683331966400146,48.10217449999618
Sigmoid,sigmoid,0.0,30,512,1.0416234731674194,0.6920999884605408,1.0393943786621094,0.6848999857902527,0.007200002670288086,15.292738100004499
Sigmoid,sigmoid,0.0,30,256,0.7518329620361328,0.7398166656494141,0.7614468932151794,0.7289000153541565,0.010916650295257568,19.600595099997008
Sigmoid,sigmoid,0.0,30,128,0.5969487428665161,0.7826499938964844,0.6117397546768188,0.7748000025749207,0.00784999132156372,26.362861300003715
Sigmoid,sigmoid,0.0,30,1024,1.535632610321045,0.6000999808311462,1.524479866027832,0.6011999845504761,-0.001100003719329834,14.933972300001187
Sigmoid,sigmoid,0.0,30,2048,2.0164544582366943,0.5924000144004822,2.0095345973968506,0.5830000042915344,0.009400010108947754,15.08340920000046
Sigmoid,sigmoid,0.0,30,4096,2.1574723720550537,0.5263000130653381,2.154717206954956,0.5254999995231628,0.000800013542175293,14.55718060000072
Sigmoid,sigmoid,0.0,30,64,0.4896412789821625,0.8270000219345093,0.5165273547172546,0.8137999773025513,0.013200044631958008,43.441912900001626
Sigmoid,sigmoid,0.0,30,8192,2.2386653423309326,0.49656665325164795,2.2378878593444824,0.4932999908924103,0.003266662359237671,14.18793619999633
Sigmoid,sigmoid,0.0,30,16384,2.2635347843170166,0.29056665301322937,2.262510299682617,0.3025999963283539,-0.012033343315124512,14.100383600001805
Sigmoid,sigmoid,0.0,30,32,0.4181002974510193,0.8512833118438721,0.4567219614982605,0.8379999995231628,0.013283312320709229,66.74540279999928
Sigmoid,sigmoid,0.0,40,512,0.9036017060279846,0.7095666527748108,0.9064725637435913,0.7010999917984009,0.008466660976409912,20.01653620000434
Sigmoid,sigmoid,0.0,40,256,0.6649086475372314,0.7587166428565979,0.6777939200401306,0.7526999711990356,0.006016671657562256,25.87897879999946
Sigmoid,sigmoid,0.0,40,128,0.5427887439727783,0.8056166768074036,0.5638188719749451,0.7937999963760376,0.011816680431365967,35.6127559000015
Sigmoid,sigmoid,0.0,40,2048,1.8014675378799438,0.5932333469390869,1.7938486337661743,0.5989999771118164,-0.005766630172729492,19.94760149999638
Sigmoid,sigmoid,0.0,40,1024,1.318565845489502,0.651199996471405,1.3132379055023193,0.6485999822616577,0.0026000142097473145,20.980085000002873
Sigmoid,sigmoid,0.0,40,4096,2.1269726753234863,0.6373833417892456,2.1246893405914307,0.6341999769210815,0.0031833648681640625,19.59935779999796
Sigmoid,sigmoid,0.0,40,64,0.45383942127227783,0.8389000296592712,0.48683130741119385,0.8251000046730042,0.01380002498626709,58.36767669999972
Sigmoid,sigmoid,0.0,40,8192,2.2188339233398438,0.5026500225067139,2.217895030975342,0.4952999949455261,0.007350027561187744,18.663414199996623
Sigmoid,sigmoid,0.0,40,16384,2.2528862953186035,0.4111500084400177,2.252087116241455,0.41130000352859497,-0.0001499950885772705,17.58886390000407
Sigmoid,sigmoid,0.0,40,32,0.3945639431476593,0.8590666651725769,0.4374064803123474,0.8424000144004822,0.016666650772094727,88.70822310000221
Sigmoid,sigmoid,0.0,50,256,0.6242029070854187,0.7717666625976562,0.639617383480072,0.7652999758720398,0.006466686725616455,31.891458899997815
Sigmoid,sigmoid,0.0,50,512,0.8019174933433533,0.734250009059906,0.8113164305686951,0.7239999771118164,0.0102500319480896,24.978700499996194
Sigmoid,sigmoid,0.0,50,128,0.5109269022941589,0.8193833231925964,0.5366079807281494,0.8066999912261963,0.012683331966400146,43.004101899998204
Sigmoid,sigmoid,0.0,50,1024,1.1169040203094482,0.6909000277519226,1.1163408756256104,0.6894000172615051,0.0015000104904174805,24.944266099999368
